Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525466,523907,1559,932826,871,407891,229,422,0.997033,0.998341,0.43726400000000004,0.9976860000000001,,,1.528275734138537,1.6538298045246267
INDEL,PASS,525466,523901,1565,931805,868,406879,227,421,0.997022,0.998346,0.43665699999999996,0.997684,,,1.528275734138537,1.6569149186084027
SNP,ALL,3365115,3357049,8066,3883847,2475,523330,1198,102,0.997603,0.9992639999999999,0.134745,0.998433,2.1001288556531157,1.9836989743416464,1.5811958532541182,1.5575615294042455
SNP,PASS,3365115,3356854,8261,3871335,2431,511057,1168,100,0.9975450000000001,0.9992770000000001,0.132011,0.99841,2.1001288556531157,1.9893224919279953,1.5811958532541182,1.567320663024777
