Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,FP.al,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525466,523909,1557,983795,921,436486,237,450,0.9970370000000001,0.998317,0.443676,0.997677,,,1.528275734138537,1.9692547340030342
INDEL,PASS,525466,523903,1563,982701,918,435402,235,449,0.997025,0.998323,0.443067,0.997674,,,1.528275734138537,1.9725302742592934
SNP,ALL,3365115,3357043,8072,3883817,2478,523300,1199,104,0.9976010000000001,0.9992629999999999,0.134739,0.998431,2.1001288556531157,1.9837538417115026,1.5811958532541182,1.5575013194194158
SNP,PASS,3365115,3356848,8267,3871287,2434,511009,1169,102,0.9975430000000001,0.999276,0.132,0.998409,2.1001288556531157,1.9893861980435097,1.5811958532541182,1.5672628854316444
