Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,I16_PLUS,TS_boundary,ALL,*,QUAL,*,0.85,0.9444440000000001,0.9181819999999999,0.8947370000000001,0,0,3148273288.000000,2546949881.000000,0.000000,20,.,.,10.000000,8.000000,,1.25,17,.,.,8.000000,8.000000,,1.0,3,.,.,2.000000,0.000000,,,220,.,.,116.000000,44.000000,,2.6363636363636362,17,.,.,8.000000,8.000000,,1.0,1,.,.,1.000000,0.000000,,,202,.,.,107.000000,36.000000,,2.9722222222222223
INDEL,I16_PLUS,TS_boundary,PASS,*,QUAL,*,0.85,0.9444440000000001,0.9181819999999999,0.8947370000000001,0,0,3148273288.000000,2546949881.000000,0.000000,20,.,.,10.000000,8.000000,,1.25,17,.,.,8.000000,8.000000,,1.0,3,.,.,2.000000,0.000000,,,220,.,.,116.000000,44.000000,,2.6363636363636362,17,.,.,8.000000,8.000000,,1.0,1,.,.,1.000000,0.000000,,,202,.,.,107.000000,36.000000,,2.9722222222222223
INDEL,I16_PLUS,TS_contained,ALL,*,QUAL,*,0.972968,0.9950549999999999,0.0,0.9838879999999999,16,9,2546949881.000000,2546949881.000000,0.000000,5586,.,.,3099.000000,1775.000000,,1.7459154929577465,5435,.,.,2982.000000,1756.000000,,1.6981776765375853,151,.,.,117.000000,19.000000,,6.157894736842105,5460,.,.,3006.000000,1767.000000,,1.701188455008489,5433,.,.,2994.000000,1754.000000,,1.7069555302166477,27,.,.,12.000000,13.000000,,0.9230769230769231,0,.,.,0.000000,0.000000,,
INDEL,I16_PLUS,TS_contained,PASS,*,QUAL,*,0.972968,0.9950549999999999,0.0,0.9838879999999999,16,9,2546949881.000000,2546949881.000000,0.000000,5586,.,.,3099.000000,1775.000000,,1.7459154929577465,5435,.,.,2982.000000,1756.000000,,1.6981776765375853,151,.,.,117.000000,19.000000,,6.157894736842105,5460,.,.,3006.000000,1767.000000,,1.701188455008489,5433,.,.,2994.000000,1754.000000,,1.7069555302166477,27,.,.,12.000000,13.000000,,0.9230769230769231,0,.,.,0.000000,0.000000,,
INDEL,I1_5,*,ALL,*,QUAL,*,0.99769,0.998607,0.421116,0.998149,64,164,2809068885,2546949881.000000,0.000000,234243,.,.,124673.000000,89844.000000,,1.3876608343350696,233702,.,.,124360.000000,89750.000000,,1.3856267409470753,541,.,.,313.000000,94.000000,,3.3297872340425534,404390,.,.,220958.000000,140005.000000,,1.5782150637477232,233769,.,.,125210.000000,89772.000000,,1.3947556030833668,326,.,.,182.000000,109.000000,,1.6697247706422018,170295,.,.,95566.000000,50124.000000,,1.9065916527013007
INDEL,I1_5,*,PASS,*,QUAL,*,0.9976729999999999,0.998612,0.42070100000000005,0.998142,64,163,2809068885,2546949881.000000,0.000000,234243,.,.,124673.000000,89844.000000,,1.3876608343350696,233698,.,.,124360.000000,89747.000000,,1.3856730587094834,545,.,.,313.000000,97.000000,,3.2268041237113403,404092,.,.,220925.000000,139794.000000,,1.5803611027654978,233765,.,.,125210.000000,89769.000000,,1.3948022145729595,325,.,.,182.000000,108.000000,,1.6851851851851851,170002,.,.,95533.000000,49917.000000,,1.9138369693691528
INDEL,I1_5,TS_boundary,ALL,*,QUAL,*,0.957303,0.928726,0.871282,0.9427979999999999,2,2,3148273288.000000,2546949881.000000,0.000000,445,.,.,218.000000,213.000000,,1.0234741784037558,426,.,.,209.000000,207.000000,,1.0096618357487923,19,.,.,9.000000,6.000000,,1.5,3597,.,.,1903.000000,1221.000000,,1.5585585585585586,430,.,.,212.000000,207.000000,,1.0241545893719808,33,.,.,30.000000,3.000000,,10.0,3134,.,.,1661.000000,1011.000000,,1.6429277942631058
INDEL,I1_5,TS_boundary,PASS,*,QUAL,*,0.957303,0.928726,0.871282,0.9427979999999999,2,2,3148273288.000000,2546949881.000000,0.000000,445,.,.,218.000000,213.000000,,1.0234741784037558,426,.,.,209.000000,207.000000,,1.0096618357487923,19,.,.,9.000000,6.000000,,1.5,3597,.,.,1903.000000,1221.000000,,1.5585585585585586,430,.,.,212.000000,207.000000,,1.0241545893719808,33,.,.,30.000000,3.000000,,10.0,3134,.,.,1661.000000,1011.000000,,1.6429277942631058
INDEL,I1_5,TS_contained,ALL,*,QUAL,*,0.997767,0.9987459999999999,0.0,0.9982559999999999,62,162,2546949881.000000,2546949881.000000,0.000000,233798,.,.,124455.000000,89631.000000,,1.3885262911269538,233276,.,.,124151.000000,89543.000000,,1.3864958734909485,522,.,.,304.000000,88.000000,,3.4545454545454546,233632,.,.,125150.000000,89671.000000,,1.3956574589332114,233339,.,.,124998.000000,89565.000000,,1.3956121252721487,293,.,.,152.000000,106.000000,,1.4339622641509433,0,.,.,0.000000,0.000000,,
INDEL,I1_5,TS_contained,PASS,*,QUAL,*,0.99775,0.99875,0.0,0.99825,62,161,2546949881.000000,2546949881.000000,0.000000,233798,.,.,124455.000000,89631.000000,,1.3885262911269538,233272,.,.,124151.000000,89540.000000,,1.3865423274514184,526,.,.,304.000000,91.000000,,3.340659340659341,233627,.,.,125150.000000,89667.000000,,1.3957197185140575,233335,.,.,124998.000000,89562.000000,,1.395658873182823,292,.,.,152.000000,105.000000,,1.4476190476190476,0,.,.,0.000000,0.000000,,
